Difficulty,Title,Frequency,Link,Topics
MEDIUM,Replace the Substring for Balanced String,100.0,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
EASY,Two Sum,90.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Two Sum,83.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Replace the Substring for Balanced String,100.0,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
EASY,Climbing Stairs,95.2,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Two Sum,81.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,81.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Palindromic Substring,81.7,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,70.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,70.9,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Trapping Rain Water,70.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Tree Right Side View,70.9,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reverse Vowels of a String,70.9,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,70.9,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
MEDIUM,Longest Common Subsequence,70.9,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,70.9,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Remove Duplicates from Sorted Array II,70.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,70.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
