Difficulty,Title,Frequency,Link,Topics
MEDIUM,Top K Frequent Words,100.0,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Top K Frequent Elements,92.0,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Maximum Product Subarray,92.0,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Split the Array,80.8,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,LRU Cache,80.8,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Repeating Character Replacement,80.8,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Longest Increasing Path in a Matrix,80.8,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,Maximum Product Subarray,91.1,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,91.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Longest Increasing Path in a Matrix,91.1,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,LRU Cache,91.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Integer to Roman,78.7,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Word Ladder,78.7,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Minimum Window Substring,78.7,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Rotting Oranges,78.7,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Split the Array,78.7,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,Product of Array Except Self,78.7,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,78.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Repeating Character Replacement,78.7,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
EASY,Majority Element,78.7,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Decode Ways,78.7,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Two Sum,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,80.1,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,3Sum,75.8,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Reverse Integer,74.8,https://leetcode.com/problems/reverse-integer,Math
HARD,Median of Two Sorted Arrays,74.3,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,73.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Sorted Array,72.7,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,72.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Palindrome Number,69.6,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Group Anagrams,69.0,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,67.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Add Two Numbers,66.1,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Container With Most Water,65.3,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Climbing Stairs,65.3,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Remove Duplicates from Sorted Array,64.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Palindromic Substring,64.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Next Permutation,64.4,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Remove Element,64.4,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Spiral Matrix,62.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Roman to Integer,62.7,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,61.7,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Set Matrix Zeroes,60.7,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Jump Game,58.5,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Generate Parentheses,57.3,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Plus One,57.3,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Letter Combinations of a Phone Number,56.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Rotate Image,56.1,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Merge Intervals,53.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.3,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Permutations,53.3,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Remove Duplicates from Sorted Array II,51.7,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Integer to Roman,51.7,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Sqrt(x),51.7,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Unique Paths,50.0,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Combination Sum II,50.0,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Sort Colors,50.0,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game II,50.0,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximum Subarray,50.0,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Valid Sudoku,50.0,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Merge k Sorted Lists,50.0,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,First Missing Positive,48.2,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Search Insert Position,46.1,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,"Pow(x, n)",46.1,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,46.1,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Divide Two Integers,46.1,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Subsets,46.1,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Search in Rotated Sorted Array,46.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Find the Index of the First Occurrence in a String,43.8,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Swap Nodes in Pairs,43.8,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
EASY,Length of Last Word,43.8,https://leetcode.com/problems/length-of-last-word,String
HARD,Largest Rectangle in Histogram,43.8,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Reverse Nodes in k-Group,43.8,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reverse Linked List II,43.8,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,4Sum,41.2,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,3Sum Closest,41.2,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,String to Integer (atoi),41.2,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Binary Tree Zigzag Level Order Traversal,41.2,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Wildcard Matching,41.2,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Zigzag Conversion,41.2,https://leetcode.com/problems/zigzag-conversion,String
HARD,Minimum Window Substring,38.3,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Partition List,38.3,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
EASY,Symmetric Tree,38.3,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Remove Nth Node From End of List,38.3,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Binary Tree Inorder Traversal,38.3,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Insert Interval,38.3,https://leetcode.com/problems/insert-interval,Array
HARD,Sudoku Solver,38.3,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Text Justification,34.8,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Balanced Binary Tree,34.8,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Same Tree,34.8,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Longest Valid Parentheses,34.8,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Add Binary,34.8,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Word Search,34.8,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Combinations,30.6,https://leetcode.com/problems/combinations,Backtracking
HARD,Substring with Concatenation of All Words,30.6,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Spiral Matrix II,30.6,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
HARD,Permutation Sequence,30.6,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
MEDIUM,Search in Rotated Sorted Array II,30.6,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Rotate List,30.6,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
EASY,Remove Duplicates from Sorted List,30.6,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
EASY,Maximum Depth of Binary Tree,30.6,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Validate Binary Search Tree,30.6,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Edit Distance,30.6,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Unique Paths II,30.6,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Search a 2D Matrix,30.6,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Path Sum,25.2,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
