Difficulty,Title,Frequency,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Hit Counter,90.4,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Shortest Uncommon Substring in an Array,81.4,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,71.4,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Hit Counter,71.4,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,String Compression,63.5,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Group Anagrams,83.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Shortest Uncommon Substring in an Array,79.3,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Design Hit Counter,74.5,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Valid Anagram,71.6,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,68.2,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String Compression,68.2,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Coin Change,58.6,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,String Compression III,50.9,https://leetcode.com/problems/string-compression-iii,String
HARD,Parse Lisp Expression,50.9,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
