Difficulty,Title,Frequency,Link,Topics
HARD,Critical Connections in a Network,100.0,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph, Biconnected Component"
MEDIUM,Count and Say,100.0,https://leetcode.com/problems/count-and-say,String
MEDIUM,Maximum Star Sum of a Graph,79.0,https://leetcode.com/problems/maximum-star-sum-of-a-graph,"Array, Greedy, Graph, Sorting, Heap (Priority Queue)"
HARD,Minimum Initial Energy to Finish Tasks,79.0,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,"Array, Greedy, Sorting"
MEDIUM,Delete and Earn,79.0,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Minimum Processing Time,79.0,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Network Delay Time,69.0,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
EASY,Sort Array by Increasing Frequency,69.0,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
HARD,Dice Roll Simulation,69.0,https://leetcode.com/problems/dice-roll-simulation,"Array, Dynamic Programming"
HARD,Number of Different Subsequences GCDs,69.0,https://leetcode.com/problems/number-of-different-subsequences-gcds,"Array, Math, Counting, Number Theory"
MEDIUM,Reduce Array Size to The Half,69.0,https://leetcode.com/problems/reduce-array-size-to-the-half,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
HARD,Create Sorted Array through Instructions,69.0,https://leetcode.com/problems/create-sorted-array-through-instructions,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Minimum Number of Taps to Open to Water a Garden,69.0,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Cherry Pickup,69.0,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
HARD,Constrained Subsequence Sum,69.0,https://leetcode.com/problems/constrained-subsequence-sum,"Array, Dynamic Programming, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Map Sum Pairs,69.0,https://leetcode.com/problems/map-sum-pairs,"Hash Table, String, Design, Trie"
MEDIUM,Number of Operations to Make Network Connected,69.0,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Can Make Palindrome from Substring,69.0,https://leetcode.com/problems/can-make-palindrome-from-substring,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
EASY,Increasing Decreasing String,69.0,https://leetcode.com/problems/increasing-decreasing-string,"Hash Table, String, Counting"
MEDIUM,Number of Islands,69.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Distance to a Cycle in Undirected Graph,69.0,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Flood Fill,69.0,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Maximum Profit in Job Scheduling,69.0,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
