Difficulty,Title,Frequency,Link,Topics
EASY,Two Sum,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,85.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,82.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,81.4,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Group Anagrams,78.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Add Two Numbers,77.9,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Valid Parentheses,77.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Palindromic Substring,77.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,3Sum,76.7,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,75.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Median of Two Sorted Arrays,75.3,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Container With Most Water,75.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Merge k Sorted Lists,71.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Maximum Subarray,71.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Longest Common Prefix,70.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Climbing Stairs,69.8,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Jump Game,69.8,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Generate Parentheses,68.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Letter Combinations of a Phone Number,68.2,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Spiral Matrix,67.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Search in Rotated Sorted Array,67.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Palindrome Number,66.9,https://leetcode.com/problems/palindrome-number,Math
EASY,Roman to Integer,66.1,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,66.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Reverse Integer,65.3,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Rotate Image,63.9,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Word Search,63.6,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Next Permutation,63.2,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Remove Duplicates from Sorted Array,62.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,61.5,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Valid Sudoku,61.1,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,61.1,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,First Missing Positive,59.1,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Jump Game II,59.1,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Subsets,58.9,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Set Matrix Zeroes,58.7,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,4Sum,57.6,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Reverse Nodes in k-Group,57.3,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,"Pow(x, n)",57.3,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Unique Paths,56.9,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Sort Colors,56.4,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Search a 2D Matrix,56.1,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Regular Expression Matching,56.1,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Minimum Window Substring,54.8,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Remove Nth Node From End of List,54.8,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Validate Binary Search Tree,54.0,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,N-Queens,53.7,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Zigzag Conversion,52.8,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Combination Sum,52.8,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Remove Element,52.8,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,52.8,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Integer to Roman,52.2,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Sqrt(x),51.2,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Plus One,51.2,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Permutations,50.2,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Search Insert Position,49.1,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
HARD,Longest Valid Parentheses,48.7,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Reverse Linked List II,46.6,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,String to Integer (atoi),46.6,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Edit Distance,45.7,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Add Binary,45.7,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Divide Two Integers,45.7,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Swap Nodes in Pairs,45.7,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Simplify Path,45.3,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Decode Ways,45.3,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Minimum Path Sum,44.3,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Remove Duplicates from Sorted Array II,44.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Rotate List,43.8,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Subsets II,43.8,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Combination Sum II,43.8,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
EASY,Same Tree,43.2,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Length of Last Word,43.2,https://leetcode.com/problems/length-of-last-word,String
MEDIUM,3Sum Closest,42.7,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
HARD,Sudoku Solver,42.7,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Insert Interval,42.7,https://leetcode.com/problems/insert-interval,Array
HARD,Wildcard Matching,41.6,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Count and Say,40.4,https://leetcode.com/problems/count-and-say,String
MEDIUM,Search in Rotated Sorted Array II,39.7,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
EASY,Remove Duplicates from Sorted List,39.1,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
EASY,Binary Tree Inorder Traversal,37.6,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Multiply Strings,37.6,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Text Justification,36.9,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Maximal Rectangle,36.1,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Unique Binary Search Trees II,35.3,https://leetcode.com/problems/unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Partition List,35.3,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
MEDIUM,Unique Paths II,35.3,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Permutation Sequence,34.4,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
HARD,Substring with Concatenation of All Words,32.6,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Combinations,31.5,https://leetcode.com/problems/combinations,Backtracking
MEDIUM,Recover Binary Search Tree,30.5,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Interleaving String,28.1,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Permutations II,28.1,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Gray Code,26.8,https://leetcode.com/problems/gray-code,"Math, Backtracking, Bit Manipulation"
MEDIUM,Unique Binary Search Trees,26.8,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Spiral Matrix II,23.8,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
MEDIUM,Restore IP Addresses,23.8,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Remove Duplicates from Sorted List II,22.1,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
HARD,Valid Number,20.3,https://leetcode.com/problems/valid-number,String
HARD,N-Queens II,16.0,https://leetcode.com/problems/n-queens-ii,Backtracking
HARD,Scramble String,13.4,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
