Difficulty,Title,Frequency,Link,Topics
EASY,Two Sum,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,92.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,92.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,92.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Reorganize String,92.5,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Frequency After Subarray Operation,88.8,https://leetcode.com/problems/maximum-frequency-after-subarray-operation,"Array, Hash Table, Dynamic Programming, Greedy, Enumeration, Prefix Sum"
MEDIUM,Longest Palindromic Substring,86.7,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Add Two Numbers,79.2,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Koko Eating Bananas,79.2,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,79.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find First and Last Position of Element in Sorted Array,79.2,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Trapping Rain Water,79.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Top K Frequent Elements,76.2,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Merge k Sorted Lists,72.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Jump Game II,72.7,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Merge Intervals,72.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,72.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,72.7,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Repeating Character Replacement,72.7,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Candy,68.7,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Meeting Rooms II,68.7,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Valid Parentheses,68.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Minimum Window Substring,68.7,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,House Robber,68.7,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,68.7,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Min Stack,64.0,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Rotate Image,64.0,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Best Time to Buy and Sell Stock II,64.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Concatenated Words,64.0,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
MEDIUM,Generate Parentheses,64.0,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Search a 2D Matrix,64.0,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
